Date,High,Low,Open,Close,Volume,Adj Close
2015/06/03,5114.6,5084.99,5098.48,5099.23,1852680000,5099.23
2015/06/04,5101.11,5046.29,5078.22,5059.12,1813960000,5059.12
2015/06/05,5074.98,5025.52,5057.04,5068.46,1842890000,5068.46
2015/06/08,5069.0,5014.06,5066.65,5021.63,1712210000,5021.63
2015/06/09,5027.02,4974.62,5013.13,5013.87,1754340000,5013.87
2015/06/10,5086.66,5024.17,5029.41,5076.69,1792980000,5076.69
2015/06/11,5101.39,5075.05,5088.26,5082.51,1623950000,5082.51
2015/06/12,5067.96,5043.24,5060.24,5051.1,1428900000,5051.1
2015/06/15,5035.37,4985.94,5011.79,5029.97,1790280000,5029.97
2015/06/16,5063.06,5022.56,5023.58,5055.55,1654820000,5055.55
2015/06/17,5080.11,5042.25,5067.68,5064.88,1712820000,5064.88
2015/06/18,5143.32,5082.03,5082.06,5132.95,1877920000,5132.95
2015/06/19,5140.17,5113.94,5139.77,5117.0,2468310000,5117.0
2015/06/22,5162.13,5142.78,5147.87,5153.97,1619970000,5153.97
2015/06/23,5163.41,5139.33,5161.68,5160.09,1613540000,5160.09
2015/06/24,5164.36,5121.64,5151.38,5122.41,1628800000,5122.41
2015/06/25,5141.71,5102.16,5139.48,5112.19,1614760000,5112.19
2015/06/26,5121.47,5060.82,5113.26,5080.51,3843810000,5080.51
2015/06/29,5051.01,4956.23,5021.21,4958.47,2025580000,4958.47
2015/06/30,5008.76,4968.26,5000.15,4986.87,2034430000,4986.87
2015/07/01,5038.55,4994.46,5029.05,5013.12,1814560000,5013.12
2015/07/02,5027.47,4990.74,5024.3,5009.21,1490810000,5009.21
2015/07/06,5020.71,4960.93,4963.8,4991.94,1741500000,4991.94
2015/07/07,5001.99,4902.21,4993.76,4997.46,2132080000,4997.46
2015/07/08,4965.45,4901.51,4953.98,4909.76,1931520000,4909.76
2015/07/09,4982.19,4920.4,4976.15,4922.4,1861600000,4922.4
2015/07/10,5008.05,4966.51,4981.24,4997.7,1590230000,4997.7
2015/07/13,5074.81,5036.68,5037.27,5071.51,1694140000,5071.51
2015/07/14,5116.52,5075.12,5077.12,5104.89,1682660000,5104.89
2015/07/15,5125.32,5088.12,5111.11,5098.94,1691350000,5098.94
2015/07/16,5163.18,5128.56,5138.18,5163.18,1823530000,5163.18
2015/07/17,5210.16,5183.23,5196.11,5210.14,1854450000,5210.14
