Date,Open,High,Low,Close,Volume,Value
2015-08-10 09:00:00,20610,20805,20605,20790,373041,7727526706
2015-08-10 16:30:00,20780,20900,20740,20890,315667,6574900270
2015-08-11 09:00:00,20915,20940,20560,20670,845787,17532674320
2015-08-11 16:30:00,20690,20705,20540,20590,437399,9015710618
2015-08-12 09:00:00,20630,20695,20285,20345,979117,20035631600
2015-08-12 16:30:00,20310,20315,20040,20235,725629,14649325164
2015-08-13 09:00:00,20395,20656,20280,20630,894799,18328810576
2015-08-13 16:30:00,20645,20650,20510,20590,365549,7523698015
2015-08-14 09:00:00,20500,20600,20465,20510,391168,8027794015
2015-08-14 16:30:00,20525,20580,20470,20540,293028,6013898470
2015-08-17 09:00:00,20590,20675,20530,20630,335072,6902084085
2015-08-17 16:30:00,20655,20655,20530,20640,320098,6591825155
2015-08-18 09:00:00,20635,20655,20530,20565,322394,6639333005
2015-08-18 16:30:00,20570,20570,20435,20475,378238,7750665015
2015-08-19 09:00:00,20465,20520,20165,20220,682850,13888520025
2015-08-19 16:30:00,20220,20345,20165,20165,461490,9343990100
2015-08-20 09:00:00,20185,20245,20015,20040,733079,14751103185
2015-08-20 16:30:00,20060,20065,19690,19760,748911,14887459250
2015-08-21 09:00:00,19640,19705,19425,19425,976634,19114471825
2015-08-21 16:30:00,19460,19660,19005,19085,1216169,23507218960
2015-08-24 09:00:00,18960,19100,18430,18430,1777698,33329873925
2015-08-24 16:30:00,18420,18420,17155,18165,2337659,41769229670
2015-08-25 09:00:00,17950,18850,17670,17670,2100699,38393822100
2015-08-25 16:30:00,17990,18550,17905,18035,1299581,23757157955
2015-08-26 09:00:00,17790,18505,17660,18440,1533720,27615774235
2015-08-26 16:30:00,18270,18575,18120,18465,981314,18012630990
2015-08-27 09:00:00,18700,18810,18475,18565,800947,14950451180
2015-08-27 16:30:00,18745,19070,18705,19040,577270,10878220795
2015-08-28 09:00:00,19050,19200,18940,19180,657612,12532475935
2015-08-28 16:30:00,19110,19190,18960,19140,500837,9549016060
2015-08-31 09:00:00,19010,19025,18740,18835,695811,13137899850
2015-08-31 16:30:00,18880,18960,18820,18860,352580,6659705850
2015-09-01 09:00:00,18750,18770,18070,18105,854284,15793538360
2015-09-01 16:30:00,18155,18185,17770,17880,1004799,18030442090
2015-09-02 09:00:00,17850,18480,17830,18250,1170415,21326947040
2015-09-02 16:30:00,18200,18325,18010,18230,662440,12025600055
2015-09-03 09:00:00,18375,18490,18170,18230,623852,11434135830
2015-09-03 16:30:00,18255,18415,18195,18255,472875,8652078935
2015-09-04 09:00:00,18300,18310,17590,17760,999988,17909818370
2015-09-04 16:30:00,17730,17795,17515,17530,659714,11647345325
2015-09-07 09:00:00,17680,18015,17470,17870,914747,16263644870
2015-09-07 16:30:00,17860,17910,17795,17850,133356,2380139605
2015-09-08 09:00:00,17925,17985,17380,17460,750325,13248270985
2015-09-08 16:30:00,17700,18015,17700,17995,495922,8882747210
2015-09-09 09:00:00,18020,18755,17990,18565,933809,17145376100
2015-09-09 16:30:00,18705,18730,18450,18450,418686,7779842990
2015-09-10 09:00:00,18135,18345,17945,18250,426232,7748255295
2015-09-10 16:30:00,18220,18290,18005,18140,495213,8975866820
2015-09-11 09:00:00,17990,18235,17980,18165,460181,8348812697
2015-09-11 16:30:00,18070,18100,17900,17985,333441,5998642795
2015-09-14 09:00:00,18230,18230,17790,17830,524260,9423346240
2015-09-14 16:30:00,17890,17930,17755,17875,259205,4623518110
2015-09-15 09:00:00,17960,18215,17870,17880,598263,10784605590
2015-09-15 16:30:00,17860,18110,17710,18100,354729,6339499645
2015-09-16 09:00:00,18140,18190,17980,18135,451466,8163556440
2015-09-16 16:30:00,18210,18380,18145,18315,312105,5693715600
2015-09-17 09:00:00,18280,18360,18180,18350,379028,6930122015
2015-09-17 16:30:00,18310,18390,18260,18370,174113,3189866970
2015-09-18 09:00:00,18185,18190,17920,17995,514258,9278328825
2015-09-23 16:30:00,17955,18040,17655,17770,455221,8113045270
2015-09-24 09:00:00,17615,17710,17460,17460,429572,7552539226
2015-09-24 16:30:00,17485,17590,17065,17265,540534,9355485920
2015-09-25 09:00:00,17500,17770,17360,17770,625586,10999615404
2015-09-25 16:30:00,17815,18020,17805,17965,436310,7825859315
2015-09-28 09:00:00,17810,17855,17550,17690,466771,8254867250
2015-09-28 16:30:00,17715,17770,17310,17350,412269,7228595265
2015-09-29 09:00:00,17350,17350,16895,16940,615638,10513652260
2015-09-29 16:30:00,17090,17270,17030,17230,464406,7967656395
2015-09-30 09:00:00,17230,17470,17170,17330,534963,9266449930
2015-09-30 16:30:00,17400,17490,17260,17410,344212,5990417180
2015-10-01 09:00:00,17490,17855,17390,17690,570383,10071767072
2015-10-01 16:30:00,17750,17770,17440,17550,390505,6865147600
2015-10-02 09:00:00,17565,17775,17530,17670,373559,6599203890
2015-10-02 16:30:00,17730,17810,17245,17665,738394,12928959520
