now,stockname,CNT,WIN,PL,AVG,CNT_A,WIN_A,PL_A,AVG_A,WIN_COMP,PL_COMP
2018/07/26 22:15:52,1346_2014S_PL,190,46.84,1.17,753,41,43.9,1.22,1067,-0.063,0.043
2018/07/26 22:15:54,1346_2015L_PL,213,64.32,1.89,2621,36,47.22,0.99,-44,-0.266,-0.476
2018/07/26 22:15:54,1346_2015S_PL,209,47.37,1.28,1131,36,41.67,0.97,-221,-0.12,-0.242
2018/07/26 22:15:56,1346_2016L_PL,218,61.93,1.61,2062,35,62.86,1.45,1177,0.015,-0.099
2018/07/26 22:15:57,1346_2016S_PL,214,48.13,1.2,947,32,37.5,0.69,-1001,-0.221,-0.425
2018/07/26 22:15:58,1346_2017L_PL,220,60.91,1.47,1615,19,57.89,1.76,1505,-0.05,0.197
2018/07/26 22:15:59,1346_2017S_PL,216,47.22,1.14,630,19,57.89,2.02,2834,0.226,0.772
2018/07/26 22:16:00,1348_2013L_PL,165,63.64,1.89,2642,35,62.86,1.43,1030,-0.012,-0.243
2018/07/26 22:16:01,1348_2013S_PL,196,42.35,0.79,-1224,38,42.11,0.65,-1490,-0.006,-0.177
2018/07/26 22:16:03,1348_2014L_PL,201,63.18,1.81,2329,42,59.52,1.56,1718,-0.058,-0.138
2018/07/26 22:16:03,1348_2014S_PL,236,42.37,0.77,-1266,37,43.24,1.43,2286,0.021,0.857
2018/07/26 22:16:06,1348_2015L_PL,229,61.57,1.68,2066,38,50.0,0.97,-183,-0.188,-0.423
2018/07/26 22:16:06,1348_2015S_PL,244,43.44,0.9,-571,41,41.46,0.73,-2061,-0.046,-0.189
2018/07/26 22:16:08,1348_2016L_PL,242,59.09,1.52,1744,33,54.55,0.95,-123,-0.077,-0.375
2018/07/26 22:16:08,1348_2016S_PL,251,45.02,0.87,-770,28,35.71,0.6,-1198,-0.207,-0.31
2018/07/26 22:16:10,1348_2017L_PL,243,58.85,1.48,1564,18,66.67,1.75,1412,0.133,0.182
2018/07/26 22:16:10,1348_2017S_PL,239,43.93,0.81,-1155,24,50.0,2.18,2456,0.138,1.691
2018/07/26 22:16:23,1356_2016L_PL,91,43.96,0.98,-198,36,41.67,0.64,-2011,-0.052,-0.347
2018/07/26 22:16:24,1356_2016S_PL,113,47.79,0.79,-2166,25,52.0,1.01,86,0.088,0.278
2018/07/26 22:16:25,1356_2017L_PL,130,44.62,0.95,-438,20,60.0,3.09,7489,0.345,2.253
2018/07/26 22:16:25,1356_2017S_PL,138,48.55,0.81,-1758,17,70.59,3.51,5850,0.454,3.333
2018/07/26 22:16:26,1357_2016L_PL,99,41.41,1.04,438,35,40.0,0.56,-2731,-0.034,-0.462
2018/07/26 22:16:27,1357_2016S_PL,87,50.57,0.89,-1217,40,52.5,1.04,253,0.038,0.169
2018/07/26 22:16:28,1357_2017L_PL,137,41.61,0.97,-244,22,45.45,1.25,1775,0.092,0.289
2018/07/26 22:16:28,1357_2017S_PL,127,51.18,0.92,-754,18,61.11,2.05,3253,0.194,1.228
2018/07/26 22:16:29,1358_2016L_PL,83,56.63,1.02,205,39,58.97,1.43,2207,0.041,0.402
2018/07/26 22:16:29,1358_2016S_PL,94,47.87,1.1,1057,37,45.95,0.84,-862,-0.04,-0.236
2018/07/26 22:16:30,1358_2017L_PL,122,57.38,1.1,845,23,56.52,1.7,2553,-0.015,0.545
2018/07/26 22:16:30,1358_2017S_PL,134,47.76,1.07,616,22,59.09,2.59,7290,0.237,1.421
2018/07/26 22:16:31,1360_2016L_PL,83,38.55,1.09,945,35,34.29,0.43,-3880,-0.111,-0.606
2018/07/26 22:16:32,1360_2016S_PL,81,50.62,0.93,-691,30,66.67,1.49,2775,0.317,0.602
2018/07/26 22:16:32,1360_2017L_PL,121,38.02,0.96,-360,21,52.38,1.69,4227,0.378,0.76
2018/07/26 22:16:33,1360_2017S_PL,111,54.95,1.03,245,19,52.63,1.39,1839,-0.042,0.35
2018/07/26 22:16:35,1365_2017L_PL,112,58.93,1.07,517,22,50.0,0.98,-148,-0.152,-0.084
2018/07/26 22:16:35,1365_2017S_PL,121,44.63,1.15,1415,22,54.55,2.31,6208,0.222,1.009
2018/07/26 22:16:36,1366_2017L_PL,111,44.14,1.06,589,20,50.0,1.52,3535,0.133,0.434
2018/07/26 22:16:37,1366_2017S_PL,106,55.66,0.98,-186,17,58.82,0.88,-735,0.057,-0.102
2018/07/26 22:16:38,1367_2017L_PL,112,54.46,1.04,329,17,70.59,2.14,4215,0.296,1.058
2018/07/26 22:16:38,1367_2017S_PL,119,43.7,1.04,449,23,56.52,2.75,6668,0.293,1.644
2018/07/26 22:16:39,1368_2017L_PL,109,44.04,0.85,-1679,20,60.0,3.11,7738,0.362,2.659
2018/07/26 22:16:40,1368_2017S_PL,109,55.96,0.95,-495,17,70.59,3.72,5039,0.261,2.916
2018/07/26 22:16:41,1369_2017L_PL,93,68.82,2.57,3507,17,76.47,2.45,1997,0.111,-0.047
2018/07/26 22:16:41,1369_2017S_PL,93,47.31,1.19,931,16,68.75,4.16,5986,0.453,2.496
2018/07/26 22:16:47,1377_2013L_PL,283,50.53,1.32,1345,47,48.94,1.69,2308,-0.031,0.28
2018/07/26 22:16:48,1377_2013S_PL,273,47.25,0.9,-519,43,46.51,1.18,617,-0.016,0.311
2018/07/26 22:16:49,1377_2014L_PL,289,50.17,1.52,1746,46,58.7,2.07,3974,0.17,0.362
2018/07/26 22:16:49,1377_2014S_PL,267,45.69,0.77,-996,41,51.22,1.16,942,0.121,0.506
2018/07/26 22:16:51,1377_2015L_PL,294,51.36,1.52,1832,41,56.1,2.64,5961,0.092,0.737
2018/07/26 22:16:51,1377_2015S_PL,252,47.62,0.95,-235,50,64.0,1.47,2530,0.344,0.547
2018/07/26 22:16:54,1377_2016L_PL,283,52.65,1.71,2556,48,52.08,1.25,708,-0.011,-0.269
2018/07/26 22:16:54,1377_2016S_PL,260,48.46,0.95,-273,37,45.95,0.59,-2448,-0.052,-0.379
2018/07/26 22:16:56,1377_2017L_PL,275,54.55,1.77,2695,23,56.52,2.04,4184,0.036,0.153
2018/07/26 22:16:57,1377_2017S_PL,253,47.83,0.92,-455,18,50.0,1.57,2472,0.045,0.707
2018/07/26 22:16:58,1379_2013L_PL,290,51.38,1.39,1594,39,58.97,1.55,1810,0.148,0.115
2018/07/26 22:16:58,1379_2013S_PL,252,48.41,1.15,818,44,45.45,0.86,-519,-0.061,-0.252
2018/07/26 22:17:00,1379_2014L_PL,282,50.71,1.11,409,54,62.96,2.75,4315,0.242,1.477
2018/07/26 22:17:00,1379_2014S_PL,261,48.28,0.9,-407,39,33.33,0.94,-385,-0.31,0.044
2018/07/26 22:17:01,1379_2015L_PL,302,52.32,1.26,855,51,64.71,1.68,2587,0.237,0.333
2018/07/26 22:17:02,1379_2015S_PL,258,45.35,0.84,-710,51,41.18,0.76,-1259,-0.092,-0.095
2018/07/26 22:17:04,1379_2016L_PL,302,53.64,1.31,1086,47,51.06,0.83,-616,-0.048,-0.366
2018/07/26 22:17:05,1379_2016S_PL,268,42.54,0.77,-1109,47,38.3,0.83,-539,-0.1,0.078
2018/07/26 22:17:06,1379_2017L_PL,313,53.35,1.25,891,27,44.44,0.93,-327,-0.167,-0.256
2018/07/26 22:17:07,1379_2017S_PL,270,40.74,0.8,-931,25,48.0,1.06,211,0.178,0.325
2018/07/26 22:17:36,1398_2017L_PL,48,47.92,0.62,-2132,14,64.29,2.99,2819,0.342,3.823
2018/07/26 22:17:37,1398_2017S_PL,97,38.14,0.61,-2783,23,34.78,0.22,-3976,-0.088,-0.639
2018/07/26 22:17:46,1407_2015L_PL,292,61.64,2.64,11201,50,56.0,0.81,-1277,-0.091,-0.693
2018/07/26 22:17:47,1407_2015S_PL,256,60.55,1.41,3676,44,54.55,2.57,5916,-0.099,0.823
2018/07/26 22:17:48,1407_2016L_PL,294,60.54,2.35,9459,54,51.85,1.02,66,-0.144,-0.566
2018/07/26 22:17:49,1407_2016S_PL,267,60.3,1.54,4155,36,61.11,2.34,3333,0.013,0.519
2018/07/26 22:17:50,1407_2017L_PL,303,60.07,2.13,6973,22,59.09,1.96,3331,-0.016,-0.08
2018/07/26 22:17:51,1407_2017S_PL,267,61.05,1.59,4168,28,42.86,0.74,-1043,-0.298,-0.535
2018/07/26 22:18:00,1414_2013L_PL,262,62.98,2.23,5301,31,58.06,2.01,3349,-0.078,-0.099
2018/07/26 22:18:00,1414_2013S_PL,269,50.56,0.93,-475,55,45.45,0.7,-1587,-0.101,-0.247
2018/07/26 22:18:03,1414_2014L_PL,247,63.97,2.63,5715,40,55.0,1.04,195,-0.14,-0.605
2018/07/26 22:18:03,1414_2014S_PL,286,47.55,0.76,-1556,34,55.88,2.13,4567,0.175,1.803
2018/07/26 22:18:05,1414_2015L_PL,254,64.17,2.79,5634,40,70.0,3.4,6988,0.091,0.219
